Order Year,Order Month,Order Quarter,Region,Product Category,Product,Sales,Quantity,Discount,Profit,Profit Margin,Shipping Cost,Browsing Time (min),Age,Gender,Education,Marital Status,Age Group
2024,7,Q1,西南,家居,产品35,1452.0212024646796,7,0.2532557687472245,325.85349057407933,31.390678056865895,13.641514356267328,35.61334575049836,30,女,本科,已婚,30-39
2022,3,Q4,华北,食品,产品11,3866.04852147469,8,0.04179070161237429,969.2781834614767,16.75603096041121,33.725378776149036,34.877071181742195,68,女,高中,未婚,60+
2024,3,Q4,华南,电子产品,产品21,1208.7349070156124,1,0.1560695881512076,933.7468765354837,49.185739502912426,34.45547860506191,38.72935116439369,22,女,其他,离异,20-29
2024,8,Q1,华北,服装,产品11,3492.5361001566293,2,0.01113399598869068,871.9647535321775,45.40541471484135,47.93422617060353,1.0081485929994836,37,女,本科,未婚,30-39
2022,5,Q3,华东,美妆,产品30,1243.3308309817005,8,0.02420093021735321,427.6115371674269,10.78320507998524,39.882241783802165,16.94698209226191,19,女,高中,已婚,<20
2022,4,Q3,华北,美妆,产品48,3164.117832776824,9,0.20170448029285945,694.3887516418766,6.177125404553893,41.16358162191621,33.45453622551457,28,男,高中,未婚,20-29
2024,8,Q4,华东,食品,产品35,3760.6835089322417,4,0.206754423128255,903.801013965605,35.97488430497046,28.922033705805205,27.387636488852205,47,女,本科,已婚,40-49
2023,6,Q2,华东,美妆,产品22,1171.6980556420422,9,0.10244082198253271,851.9251928021388,32.18587829854408,13.40513632230668,8.813168115791177,49,女,本科,离异,40-49
2024,2,Q3,华南,美妆,产品38,393.7221742204106,4,0.06468292957291343,420.1837438800056,47.111703085001565,24.150351457325822,14.364255919895996,49,女,硕士,已婚,40-49
2024,4,Q3,西南,电子产品,产品31,741.771340671453,9,0.24411308122719239,121.2621888290381,15.530237922216642,29.727030808031916,15.818874887612699,67,女,其他,未婚,60+
2024,12,Q1,华北,家居,产品14,3069.3851396280247,7,0.0651309688409671,84.87406019620397,8.797457655274417,35.52886632711706,25.984436891581904,55,男,博士,离异,50-59
2024,11,Q1,华东,食品,产品24,4262.287390506104,2,0.16260812089991392,581.2934047734457,16.66469001973939,32.346910032436725,37.59032504340736,45,男,硕士,已婚,40-49
2022,4,Q2,华北,电子产品,产品49,320.4844240535794,9,0.29046265225887163,646.2016558588223,5.851743823015855,22.72900230127596,42.02963831021791,27,男,高中,已婚,20-29
2024,6,Q3,西南,家居,产品32,3697.3411693040666,4,0.04435573135871513,851.3441785510538,6.615173803501959,16.939089814812863,34.00406616556012,39,男,其他,离异,30-39
2023,6,Q3,西南,电子产品,产品36,1772.4613651552554,8,0.2822628802484127,299.5898701376207,46.16860126643418,12.570387944165738,38.089817167779636,34,男,其他,未婚,30-39
2022,1,Q1,西北,电子产品,产品32,2444.7890126056604,7,0.05486791592060059,175.79578564454206,20.840746212584524,36.22304238225199,21.684222171866708,39,女,本科,离异,30-39
2023,8,Q3,西南,美妆,产品15,4651.411794243271,7,0.17023296240696886,385.2157748464175,23.486405045435628,34.042940344061826,18.150114063380645,60,男,其他,未婚,60+
2023,6,Q4,华南,家居,产品43,1726.6603732056428,8,0.11310231358762338,360.0393723959523,5.826724454214698,35.9317609591013,18.279175414345545,36,男,其他,已婚,30-39
2023,3,Q1,华东,食品,产品35,2380.1509763034815,1,0.28947858045054775,141.1442644776762,17.1734801077331,21.76373537612577,28.105695246958113,34,女,高中,已婚,30-39
2023,9,Q2,西北,食品,产品3,167.0438323273374,5,0.08206260870058107,675.5598259880206,41.212669268364394,16.808352015683525,6.466415044455596,41,女,硕士,离异,40-49
2022,2,Q1,华南,家居,产品16,499.833728023708,2,0.11989740062572608,513.6050213220822,32.69709318500236,39.18745979064164,26.497744042771494,53,男,其他,已婚,50-59
2022,11,Q3,华北,美妆,产品5,1367.0987965604418,2,0.29485803535662614,723.9115285536186,38.92012704888869,39.81413277749003,30.265845848083924,49,男,本科,离异,40-49
